department_name_id,department_name
1,Abaza Dili ve Edebiyatı
2,Acil Durum ve Afet Yönetimi
3,Acil Yardım ve Afet Yönetimi
4,Açık Deniz Sondaj Teknolojisi
5,Açık Deniz Tabanı Uygulamaları Teknolojisi
6,Adalet
7,Adalet Meslek Yüksekokulu
8,Adli Bilimler
9,Adli Bilişim Mühendisliği
10,Ağaç İşleri Endüstri Mühendisliği
11,Ağız ve Diş Sağlığı
12,Aile ve Tüketici Bilimleri
13,Aktüerya
14,Aktüerya Bilimleri
15,Aktüerya ve Risk Yönetimi
16,Alman Dili ve Edebiyatı
17,Almanca Mütercim ve Tercümanlık
18,Almanca Öğretmenliği
19,Alternatif Enerji Kaynakları Teknolojisi
20,Ambalaj Tasarımı
21,Ameliyathane Hizmetleri
22,Amerikan Kültürü ve Edebiyatı
23,Anestezi
24,Animasyon ve Oyun Tasarımı
25,Antrenörlük Eğitimi
26,Antropoloji
27,Arap Dili ve Edebiyatı
28,Arapça Mütercim ve Tercümanlık
29,Arapça Öğretmenliği
30,Arıcılık
31,Arka-Yüz Yazılım Geliştirme
32,Arkeoloji
33,Arkeoloji ve Sanat Tarihi
34,Arnavut Dili ve Edebiyatı
35,Astronomi ve Astrofizik
36,Astronomi ve Uzay Bilimleri
37,Aşçılık
38,Atçılık ve Antrenörlüğü
39,Atık Yönetimi
40,Avcılık ve Yaban Hayatı
41,Avrupa Birliği İlişkileri
42,Ayakkabı Tasarım ve Üretimi
43,Ayakkabı Tasarımı ve Üretimi
44,Azerbaycan Dili Öğretmenliği
45,Azerbaycan Dili ve Edebiyatı
46,Azerbaycan Türkçesi ve Edebiyatı
47,Bağcılık
48,Bağcılık ve Bağ Ürünleri Teknolojisi
49,Bahçe Bitkileri
50,Bahçe Bitkileri Üretimi ve Pazarlaması
51,Bahçe Tarımı
52,Bahçe ve Tarla Bitkileri
53,Balıkçılık Teknolojisi Mühendisliği
54,Bankacılık
55,Bankacılık ve Finans
56,Bankacılık ve Sigortacılık
57,Basım Teknolojileri
58,Basım ve Yayım Teknolojileri
59,Basım ve Yayın Teknolojileri
60,Basın ve Yayın
61,Basın ve Yayıncılık
62,Batı Dilleri
63,Beden Eğitimi ve Spor Öğretmenliği
64,Beslenme ve Diyetetik
65,Bıçakçılık ve El Aletleri Üretim Teknolojisi
66,Bilgi Güvenliği Teknolojisi
67,Bilgi ve Belge Yönetimi
68,Bilgi Yönetimi
69,Bilgisayar-Enformatik
70,Bilgisayar Bilimleri
71,Bilgisayar Bilimleri ve Mühendisliği
72,Bilgisayar Destekli Tasarım ve Animasyon
73,Bilgisayar Mühendisliği
74,Bilgisayar Operatörlüğü
75,Bilgisayar Programcılığı
76,Bilgisayar Teknolojisi
77,Bilgisayar Teknolojisi ve Bilişim Sistemleri
78,Bilgisayar ve Öğretim Teknolojileri Öğretmenliği
79,Bilgisayar ve Yazılım Mühendisliği
80,Bilim Tarihi
81,Bilişim Güvenliği Teknolojisi
82,Bilişim Sistemleri Mühendisliği
83,Bilişim Sistemleri ve Teknolojileri
84,Bitki Koruma
85,Bitkisel Üretim ve Teknolojileri
86,Biyoenformatik ve Genetik
87,Biyokimya
88,Biyoloji
89,Biyoloji Öğretmenliği
90,Biyomedikal Cihaz Teknolojisi
91,Biyomedikal Mühendisliği
92,Biyomühendislik
93,Biyosistem Mühendisliği
94,Biyoteknoloji
95,Biyoteknoloji ve Moleküler Biyoloji
96,Boşnak Dili ve Edebiyatı
97,Boya Teknolojisi
98,Bulgar Dili ve Edebiyatı
99,Bulgarca Mütercim ve Tercümanlık
100,Bulut Bilişim Operatörlüğü
101,Büro Yönetimi ve Yönetici Asistanlığı
102,Büyük Veri Analistliği
103,Canlandırma Filmi Tasarım ve Yönetimi
104,Cevher Hazırlama Mühendisliği
105,Ceza İnfaz ve Güvenlik Hizmetleri
106,CNC Programlama ve Operatörlüğü
107,Coğrafi Bilgi Sistemleri
108,Coğrafya
109,Coğrafya Öğretmenliği
110,Çağdaş Türk Lehçeleri ve Edebiyatları
111,Çağdaş Yunan Dili ve Edebiyatı
112,Çağrı Merkezi Hizmetleri
113,Çalışma Ekonomisi ve Endüstri İlişkileri
114,Çay Tarımı ve İşleme Teknolojisi
115,Çerkez Dili ve Edebiyatı
116,Çerkez Dili ve Kültürü
117,Çeviribilim
118,Çeviribilimi
119,Çevre Koruma ve Kontrol
120,Çevre Mühendisliği
121,Çevre Sağlığı
122,Çevre Temizliği ve Denetimi
123,Çim Alan Tesisi ve Yönetimi
124,Çin Dili ve Edebiyatı
125,Çince Mütercim ve Tercümanlık
126,Çini Sanatı ve Tasarımı
127,Çizgi Film ve Animasyon
128,Çocuk Gelişimi
129,Çocuk Koruma ve Bakım Hizmetleri
130,Çok Boyutlu Modelleme ve Animasyon
131,Deniz Bilimleri ve Teknolojisi Mühendisliği
132,Deniz Brokerliği
133,Deniz İşletmeciliği ve Yönetimi
134,Deniz Ulaştırma İşletme Mühendisliği
135,Deniz Ulaştırma ve İşletme
136,Deniz ve Liman İşletmeciliği
137,Denizci Sağlığı
138,Denizcilik İşletmeleri Yönetimi
139,Deri Konfeksiyon
140,Deri Mühendisliği
141,Deri Teknolojisi
142,"Dezenfeksiyon, Sterilizasyon ve Antisepsi"
143,"Dezenfeksiyon, Sterilizasyon ve Antisepsi Teknikerliği"
144,Dijital Dönüşüm Elektroniği
145,Dijital Fabrika Teknolojileri
146,Dijital Medya ve Pazarlama
147,Dijital Oyun Tasarımı
148,Dil ve Konuşma Terapisi
149,Dilbilim
150,Dilbilimi
151,Diş Hekimliği
152,Diş Protez Teknolojisi
153,Dış Ticaret
154,Diyaliz
