program_code,year,placed_count,placed_pref_rank_avg,placed_top_1_pref_count,placed_top_3_pref_count,placed_top_10_pref_count
103390230,2024,22,3.5,16,16,20
103390149,2024,54,9.0,5,13,33
101370272,2024,54,10.2,5,14,29
206552026,2024,8,5.2,2,4,7
107390189,2024,53,10.8,5,12,25
207650838,2024,34,3.7,14,23,30
107690154,2024,49,12.1,1,5,21
104790054,2024,41,8.8,5,8,28
101150977,2024,72,9.3,9,20,45
101051376,2024,1260,2.5,718,1023,1212
110290120,2024,32,7.5,8,13,22
101490698,2024,1640,3.6,531,1045,1554
100990026,2024,42,10.8,4,9,19
104590132,2024,49,9.4,6,13,29
103290214,2024,59,10.1,5,11,33
108690161,2024,32,11.3,1,4,15
105650969,2024,205,3.5,91,143,194
207650829,2024,7,4.9,1,5,6
109190059,2024,42,10.2,3,8,25
112190144,2024,32,11.4,1,4,17
107890030,2024,54,8.7,7,11,38
112190242,2024,0,,0,0,0
108890242,2024,106,5.2,16,52,95
101190341,2024,103,4.0,48,75,90
103650657,2024,54,7.6,5,15,43
206552044,2024,46,4.2,10,23,43
108690161,2023,32,8.2,5,10,22
105650969,2023,126,2.7,71,99,122
110290120,2023,32,3.4,11,21,32
104590132,2023,49,7.6,8,14,37
207650829,2023,6,6.7,0,2,5
103290214,2023,59,8.7,5,10,41
101490698,2023,1680,3.8,433,1008,1589
112190144,2023,32,5.7,10,17,27
100990026,2023,42,8.9,6,12,28
109190059,2023,42,9.3,0,7,28
101150977,2023,74,7.7,16,27,53
107690154,2023,49,7.5,8,14,36
107390189,2023,54,9.8,3,9,32
101370272,2023,54,9.5,9,15,31
103650657,2023,54,5.4,14,24,46
104790054,2023,42,8.7,6,11,27
107890030,2023,54,8.7,8,16,36
103390149,2023,54,7.1,11,23,39
101190341,2023,106,2.7,63,85,101
101051376,2023,1260,2.4,741,1028,1233
207650838,2023,34,6.3,12,21,26
206552026,2023,9,5.9,3,6,7
206552044,2023,46,4.5,13,29,42
108890242,2023,106,5.6,17,48,91
207650838,2022,25,3.6,10,15,24
101051376,2022,1230,2.5,788,1032,1175
101190341,2022,103,4.2,52,71,91
103390149,2022,52,11.1,4,10,25
