program_code,tag_id
101490698,6
207650829,8
207650874,3
205090084,8
105650969,20
206552035,3
200390106,3
200390106,27
200390105,3
202590269,2
202552162,3
101190341,20
101451981,6
101051376,6
207650838,2
202552153,8
205090085,2
206552026,8
206552044,2
108890242,20
200350941,8
200350941,27
200390133,27
200390133,22
200350923,8
200390132,22
112190242,13
102790287,13
100890058,27
300290443,2
300290443,24
107330202,27
300211622,8
300211622,24
300290442,24
300290442,22
209210138,2
110910107,2
110910105,22
200290135,8
200651875,1
200690734,2
200690347,27
200690347,22
201150076,2
201150085,1
201150067,8
205850199,22
206410607,1
210200108,2
210200101,8
208590032,22
103670149,27
201650035,2
201050465,1
201050447,8
205550457,2
207450867,27
207450867,22
207450549,2
207450558,1
201290334,2
201250718,2
201450037,2
201450082,8
201450082,27
201450028,8
202353126,22
202353117,2
202453567,22
202454556,2
200751256,1
200752748,2
200790419,3
200790419,27
200752757,2
200752757,27
202550703,2
201790263,8
201751235,8
202752751,8
202752751,27
202751595,8
208750390,22
208750166,2
203050829,8
203150316,8
204551828,3
204551828,27
204590390,2
204551194,8
204590391,27
204590391,22
204751871,2
204770092,2
204770092,27
208150161,8
208150179,1
203350421,3
203350421,27
203350041,8
206870066,3
206850706,8
206850706,27
205052961,8
205052961,27
205052476,8
208450316,8
208450307,2
208450743,8
208450743,27
208910064,2
203550375,22
206050856,8
206050865,2
204050032,2
203851688,8
203851697,22
200351709,8
109870235,27
109970207,27
106170287,27
300250474,22
300250492,8
300450145,22
300850105,2
300150493,22
300150509,8
300550453,3
301390109,2
301010204,3
301010203,8
200690543,2
200690543,27
101370265,27
205550448,8
201450116,1
201450116,27
200751247,8
202751586,22
204590392,2
204590392,27
203350174,2
203350174,27
208450742,2
208450742,27
204050023,8
108970185,27
300450233,2
200690346,8
200690346,27
205850206,8
207451123,2
207451123,27
202456331,2
202456331,27
201790264,2
208750165,8
210400829,2
203350165,8
203350165,27
206850681,2
204190560,1
204050014,22
300250508,2
300450154,8
301010205,2
203051121,2
300390281,22
110670134,27
200752678,1
200752678,27
208910010,1
209210080,8
110910106,8
101150862,20
200290149,2
200290139,1
200651857,8
200651866,2
200651848,22
200690349,2
200690349,27
200690348,1
200690348,27
208750192,3
205850514,1
205850515,2
100770987,27
206410608,2
206410606,8
208550024,3
208550015,8
208550033,2
208590074,22
102790217,27
101451724,6
101050775,6
201650017,22
201650044,1
201650026,8
104790050,27
109272246,27
201050456,2
201050438,22
205550439,22
207450876,8
207450876,27
207451132,1
207451132,27
207450522,8
207450513,22
201290288,22
201290238,1
201250709,8
201450107,1
201450091,2
201450091,27
202353108,8
202390591,1
202390584,22
202453576,8
202456313,8
202456313,27
200790565,2
210300101,8
200751556,8
200751556,27
200790509,2
200790509,27
210300108,2
202550696,8
201751226,22
201751244,2
202751656,1
202752769,2
202752769,27
202790411,3
202790411,27
202751647,2
203051139,1
203150979,8
203150979,27
203150988,2
203150988,27
203150325,2
204551776,8
204551776,27
210400822,22
204590389,22
204551819,3
210400815,8
204751862,8
204770083,8
204770083,27
208150188,2
208150152,22
203350059,2
203350420,3
206850672,8
206850715,2
206850715,27
206870067,3
206870067,27
205052485,2
205052979,2
205052979,27
105690478,6
206290197,2
206250457,8
208910011,8
204150755,8
204190553,22
204150904,2
203590177,1
203550384,8
206050874,1
206050847,22
106470496,27
107090077,27
105370313,27
203851713,1
203851704,2
108770354,27
104370801,27
200351693,22
200390120,2
102370173,27
101870205,27
103390114,27
300250517,3
300350331,8
300351011,3
300350491,2
300450163,3
300850098,3
300850089,8
300190384,3
300150518,2
300590394,2
300550568,8
301390061,8
301010202,22
204050059,3
206511453,3
206511462,2
206511444,8
206511471,22
111490230,13
103910752,17
103990111,13
103930598,27
103310379,17
104112286,13
107690290,17
107690389,13
209210016,2
200690727,2
200651821,2
206410617,1
210000360,8
205550342,22
205590087,22
200190038,8
200190038,27
202950841,2
200590146,8
200851584,8
207650802,2
207650802,27
201290270,8
209010046,2
202390598,1
202390211,2
209310012,8
202454971,1
207650877,3
207650877,27
202454998,8
202454998,27
200790385,3
200790385,27
200790537,2
200751953,2
210300136,2
210300136,27
200790465,1
202551649,3
202551649,27
202551297,2
202551322,8
202551322,27
207590268,2
209810015,22
209810017,2
202790858,1
202751929,8
202751965,8
202751965,27
208750190,3
208750189,8
203151174,8
203190337,1
203151183,2
203151659,2
203151659,27
204590395,2
210401550,8
204551837,3
210401557,22
204551185,8
204590846,2
204590846,27
210401564,2
210401578,27
210401578,22
204590839,8
204590839,27
204790619,8
208150197,22
201350738,8
209410016,8
206851388,22
205090108,2
205090108,27
205053765,2
207650875,3
206250518,8
208450149,8
208910013,1
206552229,3
206552229,27
206551919,22
206552238,2
206552238,27
204610492,1
200450261,8
200450261,27
209710069,1
209710069,27
209710018,8
209710018,27
209710017,2
200450782,2
200450782,27
203851809,1
200390167,2
106690121,27
300290339,8
300290341,2
300350791,22
300490471,2
300490451,22
300750221,3
300150739,2
300150721,8
300550435,2
206410616,2
200950026,8
202454989,27
202454989,22
200751962,2
200751962,27
202751938,2
208150213,2
300550753,8
205590088,8
200950659,22
202455015,2
202455015,27
202551631,3
204590811,22
209910011,2
209710019,2
209710019,27
300750081,2
203150952,8
203150952,27
200190039,2
200190039,27
200790384,3
201350729,2
301290076,2
100190114,13
202454962,2
204590832,27
204590832,22
301290075,8
200950035,2
202751983,1
202751983,27
203150961,2
203150961,27
200950571,3
210401585,2
210401585,27
201350728,8
209210015,8
209210187,1
101190516,13
200651812,8
200651839,1
200651803,22
208810032,1
208810031,8
206410615,8
210000367,2
205550369,2
200150661,2
200150652,8
202950223,8
202950241,1
200590147,2
200851586,2
200851585,3
207650335,8
207650876,2
207650795,8
207650795,27
201290341,2
201290271,1
209010045,8
202390210,8
202390229,22
209310014,2
202454935,22
202454944,8
200751732,8
200751732,27
210300129,8
210300129,27
210300115,8
200790464,1
200790464,27
200790510,2
200790510,27
205550351,8
210300122,2
200751574,8
202551313,2
202551313,27
202551304,8
207590261,8
207590254,22
209810016,8
202790767,1
202790767,27
202751974,2
202751974,27
202790564,2
202751947,1
202751911,22
208750271,22
208750191,2
203190344,1
203190344,27
203150025,2
203190148,1
203150016,8
203151641,8
203151641,27
210401571,8
210401571,27
204590394,2
204590394,27
204553066,3
204553066,27
204590396,27
204590396,22
204553057,8
204553057,27
204590393,22
204590825,2
204590818,8
204790626,2
208150204,8
208151124,3
209910010,8
201350739,2
209410065,2
206851404,2
206851397,8
205090052,8
205090052,27
205090053,3
205090053,27
205053774,8
206250527,2
208450131,2
208450746,8
208450746,27
208450747,2
208450747,27
208910065,2
208910012,8
206552202,8
206552202,27
206551946,2
206551928,8
206551937,3
209610035,2
209610034,8
204610478,8
204610485,22
200450773,2
209710068,1
209710016,8
200450234,8
203851808,2
203851219,8
203851201,22
200351621,22
200351639,8
106170357,27
300290340,3
300290338,22
300350816,2
300350807,8
300351189,3
300490452,8
300490470,3
300750072,8
300150712,22
300190387,3
300590375,3
300590376,3
300590376,24
300590345,2
300590345,24
300590344,8
300590344,24
107211118,13
101190438,20
300190664,2
300190664,24
107290346,13
107290464,13
300190312,8
300190312,24
300190314,24
300190314,22
104890554,13
100310873,4
103990357,4
108930098,4
108930098,27
108830406,27
101110015,4
104890539,13
105610061,4
103410033,4
108910216,4
104890459,13
108890247,27
107290450,13
104810202,4
109790542,13
109410854,4
111610397,4
104112038,13
107210014,4
107610019,4
101170354,27
104870268,27
108651128,13
203090131,2
102590398,15
300490456,3
300490457,2
300590395,2
300551336,3
300490454,22
203090129,8
203090130,3
102590391,9
300490455,8
300551027,8
201490085,2
201490084,8
209210014,2
200290178,8
200651239,2
200650286,22
205850215,22
207950032,22
207950139,2
207950078,1
207710102,1
205550281,22
205590089,22
200551231,8
200851561,3
200950502,8
200950511,2
207650881,2
207650881,27
207650017,8
207650880,3
207650880,27
202650483,8
209010061,2
202050762,3
202090318,22
202090321,8
202090321,27
202090322,2
202090322,27
202090354,27
202090354,22
209310013,8
202456579,8
202456579,27
202456588,2
202456588,27
202456561,27
202456561,22
200752784,2
200752784,27
210300157,8
210300157,27
200790572,2
200752175,8
200752175,27
202550757,8
202550757,27
202550748,8
202550766,2
202550766,27
207550654,27
207550654,22
207550036,2
202753097,1
202753097,27
202753061,27
202753061,22
202753079,8
202753079,27
202790492,1
208750206,8
203151668,8
203151668,27
203151192,8
203190351,1
203150934,8
203150934,27
204551158,8
204551228,8
204551228,27
204590853,8
204590853,27
210401599,22
210401627,2
210401627,27
204553145,3
204553145,24
204551864,2
204590769,2
204590769,27
204590741,22
204551855,3
204752251,2
204752912,8
204752912,27
208150267,22
208150258,1
206851422,8
206870091,22
205053783,2
206250775,2
206250775,27
208450634,2
208450634,27
208910066,2
208910014,8
206551513,2
206551513,27
206551504,3
206551504,27
206551285,22
209610016,8
209710020,8
200450446,8
200450446,27
209710022,8
209710022,27
209710021,2
203851811,1
203851810,2
300250614,8
300250605,22
300390270,3
300450612,3
300150863,22
300190388,3
300150881,2
300550762,8
208810034,1
200150688,2
200950666,22
202050505,8
200752809,2
207550681,2
207550681,27
203150176,8
204553136,8
204553136,24
210401613,8
210401613,27
210300164,2
210300164,27
206250306,2
200450791,2
300450621,2
205850224,8
200150679,8
202650474,22
202050771,3
202050771,27
200790387,3
200790387,27
202753025,22
203150943,2
203150943,27
204551873,3
204551873,27
204752921,2
204752921,27
206250166,8
209610017,2
300590377,3
202950232,1
209910013,2
209210194,1
209210013,8
200290179,2
200650841,1
200650295,8
208810033,8
205850516,3
205850517,2
207950077,2
207950041,8
206410636,2
206410635,8
207710109,22
207710101,8
205590090,8
205550299,8
202950268,8
202950859,2
200551249,2
200851388,2
200851379,8
200950572,3
200950637,2
207650878,3
207650879,2
207650353,8
207650353,27
202650602,2
209010060,8
202090319,8
202090320,2
202050514,2
202050532,8
202050532,27
202050541,2
202050541,27
202050498,22
209310015,2
202456534,8
202456525,22
202456552,1
202456543,2
210300143,8
210300150,2
200752112,8
200790466,1
200790386,3
202590213,3
202590213,27
202550739,2
202590212,3
207550027,8
207550663,8
207550663,27
207550018,22
202753088,2
202753088,27
202790774,2
202790774,27
202753034,8
202753043,2
208750207,2
208750404,22
203151208,2
203190358,1
203190358,27
203150185,2
203190155,1
203151677,2
203151677,27
210401620,27
210401620,22
204590397,22
204590748,8
204590762,27
204590762,22
204590398,27
204590398,22
210401592,8
210401606,2
204590755,2
204551882,2
204551882,27
204752242,8
204752233,22
208150231,8
208150249,2
209910012,8
206870052,2
206870052,27
206870051,8
206870051,27
206870092,27
206870092,22
206851431,2
205053792,8
206250624,8
206250624,27
208450016,8
208450564,2
208450643,8
208450643,27
208910015,1
111091385,9
111091385,18
206551488,27
206551488,22
206551294,8
206551497,8
206551497,27
206551319,2
206551301,3
200450807,2
200450807,27
209710023,2
209710023,27
200450419,8
209710070,1
209710071,1
209710071,27
203851228,22
203851237,8
106370407,27
300250817,2
300250808,3
300350552,8
300350561,2
300350543,22
300450603,8
300450596,22
300150872,8
300550408,2
200611294,8
200610206,2
104810044,24
101490509,13
201910024,8
201910518,1
201910518,24
105610079,24
103410042,24
300290347,3
300290347,24
300290422,24
300290422,22
300290423,2
300290423,24
103110203,24
202110683,2
202110683,24
202110902,8
202110902,24
101110024,24
200610199,22
200611919,3
201910015,24
201910015,22
201910509,2
201910881,3
300290349,24
300290349,22
300290346,8
300290346,24
300290348,2
300290348,24
200290181,2
200690706,2
208810023,8
205850039,22
207950072,22
207950069,8
100390225,13
210000101,8
201650105,8
