program_code,year_id
103390230,6
108690161,1
108690161,2
108690161,3
108690161,4
108690161,5
108690161,6
104590132,2
104590132,3
104590132,4
104590132,5
104590132,6
103290214,2
103290214,3
103290214,4
103290214,5
103290214,6
109190059,3
109190059,4
109190059,5
109190059,6
112190144,4
112190144,5
112190144,6
110290120,1
110290120,2
110290120,3
110290120,4
110290120,5
110290120,6
101490698,4
101490698,5
101490698,6
207650829,1
207650829,2
207650829,3
207650829,4
207650829,5
207650829,6
207650874,1
205090084,2
105650969,1
105650969,2
105650969,3
105650969,4
105650969,5
105650969,6
206552035,1
200390106,1
200390105,1
202590269,2
202552162,1
100990026,1
100990026,2
100990026,3
100990026,4
100990026,5
100990026,6
107351046,1
107351046,2
107351046,3
107351046,4
101150977,1
101150977,2
101150977,3
101150977,4
101150977,5
101150977,6
107690154,1
107690154,2
107690154,3
107690154,4
107690154,5
107690154,6
107390189,5
107390189,6
101370272,2
101370272,3
101370272,4
101370272,5
101370272,6
103650657,1
103650657,2
103650657,3
103650657,4
103650657,5
103650657,6
104790054,2
104790054,3
104790054,4
104790054,5
104790054,6
106090061,1
106090061,2
107890030,1
107890030,2
107890030,3
107890030,4
107890030,5
107890030,6
103390149,1
103390149,2
103390149,3
103390149,4
103390149,5
103390149,6
101190341,1
101190341,2
101190341,3
101190341,4
101190341,5
101190341,6
101451981,1
101451981,2
101451981,3
101051376,1
101051376,2
101051376,3
101051376,4
101051376,5
101051376,6
207650838,1
207650838,2
207650838,3
207650838,4
207650838,5
207650838,6
202552153,1
202552153,2
205090085,2
206552026,1
206552026,2
206552026,3
206552026,4
206552026,5
206552026,6
206552044,1
206552044,2
206552044,3
206552044,4
206552044,5
206552044,6
108890242,2
108890242,3
108890242,4
108890242,5
108890242,6
200350941,1
200350941,2
200350941,3
200390133,2
200350923,1
200350923,2
200350923,3
200390132,2
112190242,6
101370270,2
101370270,3
101370270,4
101370270,5
101370270,6
107310446,1
107310446,2
107310446,3
107310446,4
107310446,5
107310446,6
109490337,3
109490337,4
109490337,5
109490337,6
104710336,1
104710336,2
104710336,3
104710336,4
104710336,5
104710336,6
107710442,1
107710442,2
107710442,3
107710442,4
107710442,5
107710442,6
107910379,1
107910379,2
107910379,3
107910379,4
107990171,5
107990171,6
109590048,2
109590048,3
109590048,4
109590048,5
109590048,6
101290082,2
101290082,3
101290082,4
101290082,5
101290082,6
102790287,3
102790287,4
102790287,5
102790287,6
100890058,1
100890058,2
300290443,3
300290443,4
300290443,5
300290443,6
108911647,1
108911647,2
108911647,3
108911647,4
108911647,5
108911647,6
107330202,1
107330202,2
107330202,3
107330202,4
107330202,5
107310473,1
107310473,2
107310473,3
107310473,4
107310473,5
107310473,6
102710387,1
102710387,2
102710387,3
102710387,4
102710387,5
102710387,6
101490475,3
101490475,4
101490475,5
101490475,6
103730146,5
103730146,6
104790017,1
104790017,2
104790017,3
104790017,4
104790017,5
104790017,6
111091394,2
111091394,3
111091394,4
111091394,5
111091394,6
108990307,1
108990307,2
108990307,3
108990307,4
108990307,5
108990307,6
111570357,5
111570357,6
104390077,1
104390077,2
104390077,3
104390077,4
104390077,5
104390077,6
112190221,5
112190221,6
100890057,1
100890057,2
100890057,3
100890057,4
100890057,5
100890057,6
101890037,1
101890037,2
101890037,3
101890037,4
101890037,5
101890037,6
300211622,1
300211622,2
300211622,3
300211622,4
300211622,5
300211622,6
300290442,3
300290442,4
300290442,5
300290442,6
110390237,4
110390237,5
110390237,6
110390244,4
110390244,5
110390244,6
100751363,1
100751363,2
100751363,3
100751363,4
100751363,5
110670119,1
110670119,2
110670119,3
110670119,4
110670119,5
102090060,1
102090060,2
102090060,3
102090060,4
102090060,5
102790186,1
102790186,2
102790186,3
102790186,4
102790186,5
102890079,2
102890079,3
102890079,4
102890079,5
109490179,1
109490179,2
109490179,3
109490179,4
109490179,5
101451503,1
101451503,2
101451503,3
101451503,4
101451503,5
104251232,1
104251232,2
104251232,3
104251232,4
104251232,5
209210138,4
209210138,5
110910107,2
110910105,2
200290135,1
200290135,2
200290135,3
200290135,4
200290135,5
200651875,1
200651875,2
200651875,3
200690734,4
200690734,5
200690347,1
200690347,2
200690347,3
200690347,4
201150076,1
201150076,2
201150076,3
201150076,4
201150076,5
201150085,1
201150067,1
201150067,2
201150067,3
201150067,4
201150067,5
205850199,1
205850199,2
205850199,3
205850199,4
206410607,1
210200108,5
210200101,5
208590032,1
103670149,1
103670149,2
103670149,3
103670149,4
201650035,1
105651058,1
105651058,2
105651058,3
105651058,4
105651058,5
103150017,1
103150017,2
103150017,3
103150017,4
103150017,5
106490148,1
106490148,2
106490148,3
106490148,4
106490148,5
103550967,1
103550967,2
103550967,3
103550967,4
103550967,5
107050254,1
107050254,2
107050254,3
107050254,4
107050254,5
201050465,1
201050447,1
201050447,2
201050447,3
201050447,4
201050447,5
205550457,1
205550457,2
205550457,3
205550457,4
207450867,1
207450867,2
207450867,3
207450549,1
207450549,2
207450549,3
207450549,4
207450549,5
207450558,1
201290334,4
201290334,5
201250718,1
201450037,1
201450037,2
201450037,3
201450037,4
201450037,5
201450082,1
201450082,2
201450082,3
201450082,4
201450028,1
201450028,2
201450028,3
201450028,4
201450028,5
202353126,1
202353117,1
202353117,2
202353117,3
202353117,4
202453567,1
202453567,2
202453567,3
202453567,4
202453567,5
202454556,1
202454556,2
202454556,3
202454556,4
202454556,5
200751256,1
200751256,2
200751256,3
200752748,1
200790419,1
200752757,1
202550703,1
202550703,2
202550703,3
202550703,4
202550703,5
201790263,3
201790263,4
201790263,5
201751235,1
201751235,2
202752751,1
202752751,2
202752751,3
202752751,4
202751595,1
202751595,2
202751595,3
202751595,4
202751595,5
208750390,5
208750166,1
208750166,2
208750166,3
208750166,4
208750166,5
203050829,1
203050829,2
203050829,3
203050829,4
203050829,5
203150316,1
203150316,2
203150316,3
203150316,4
203150316,5
204551828,1
204590390,2
204590390,3
204590390,4
204551194,1
