program_code,department_name_id,faculty_name_id,university_id,score_type_id,scholarship_type_id,is_undergraduate,years,tags
103390230,1,1,115,1,1,True,2024,
108690161,2,2,147,2,1,False,"2019,2020,2021,2022,2023,2024",
104590132,2,3,242,2,1,False,"2020,2021,2022,2023,2024",
103290214,2,4,164,2,1,False,"2020,2021,2022,2023,2024",
109190059,2,5,162,2,1,False,"2021,2022,2023,2024",
112190144,2,6,180,2,1,False,"2022,2023,2024",
110290120,2,7,304,2,1,False,"2019,2020,2021,2022,2023,2024",
101490698,2,8,127,2,2,False,"2022,2023,2024",Açıköğretim
207650829,2,9,262,2,3,False,"2019,2020,2021,2022,2023,2024",Burslu
207650874,2,9,262,2,4,False,2019,%75 İndirimli
205090084,2,10,353,2,3,False,2020,Burslu
105650969,2,11,322,2,5,False,"2019,2020,2021,2022,2023,2024",Uzaktan Öğretim
206552035,2,12,179,2,4,False,2019,%75 İndirimli
200390106,2,12,333,2,4,False,2019,"%75 İndirimli,İÖ"
200390105,2,12,333,2,4,False,2019,%75 İndirimli
202590269,2,12,211,2,6,False,2020,%50 İndirimli
202552162,2,12,211,2,4,False,2019,%75 İndirimli
100990026,2,13,334,2,1,False,"2019,2020,2021,2022,2023,2024",
107351046,2,14,226,2,1,False,"2019,2020,2021,2022",
101150977,2,15,207,2,1,False,"2019,2020,2021,2022,2023,2024",
107690154,2,16,216,2,1,False,"2019,2020,2021,2022,2023,2024",
107390189,2,17,226,2,1,False,"2023,2024",
101370272,2,18,372,2,1,False,"2020,2021,2022,2023,2024",
103650657,2,12,103,2,1,False,"2019,2020,2021,2022,2023,2024",
104790054,2,19,218,2,1,False,"2020,2021,2022,2023,2024",
106090061,2,20,399,2,1,False,"2019,2020",
107890030,2,21,361,2,1,False,"2019,2020,2021,2022,2023,2024",
103390149,2,22,115,2,1,False,"2019,2020,2021,2022,2023,2024",
101190341,2,11,207,2,5,False,"2019,2020,2021,2022,2023,2024",Uzaktan Öğretim
101451981,2,23,127,2,2,False,"2019,2020,2021",Açıköğretim
101051376,2,24,152,2,2,False,"2019,2020,2021,2022,2023,2024",Açıköğretim
207650838,2,9,262,2,6,False,"2019,2020,2021,2022,2023,2024",%50 İndirimli
202552153,2,12,211,2,3,False,"2019,2020",Burslu
205090085,2,10,353,2,6,False,2020,%50 İndirimli
206552026,2,12,179,2,3,False,"2019,2020,2021,2022,2023,2024",Burslu
206552044,2,12,179,2,6,False,"2019,2020,2021,2022,2023,2024",%50 İndirimli
108890242,2,25,217,2,5,False,"2020,2021,2022,2023,2024",Uzaktan Öğretim
200350941,2,23,333,2,3,False,"2019,2020,2021","Burslu,İÖ"
200390133,2,12,333,2,7,False,2020,"İÖ,Ücretli"
200350923,2,23,333,2,3,False,"2019,2020,2021",Burslu
200390132,2,12,333,2,8,False,2020,Ücretli
112190242,2,6,180,2,1,False,2024,KKTC Uyruklu
101370270,3,26,372,3,1,True,"2020,2021,2022,2023,2024",
107310446,3,26,226,3,1,True,"2019,2020,2021,2022,2023,2024",
109490337,3,27,312,3,1,True,"2021,2022,2023,2024",
104710336,3,26,218,3,1,True,"2019,2020,2021,2022,2023,2024",
107710442,3,26,392,3,1,True,"2019,2020,2021,2022,2023,2024",
107910379,3,28,309,3,1,True,"2019,2020,2021,2022",
107990171,3,26,309,3,1,True,"2023,2024",
109590048,3,26,203,3,1,True,"2020,2021,2022,2023,2024",
101290082,3,26,258,3,1,True,"2020,2021,2022,2023,2024",
102790287,3,26,138,3,1,True,"2021,2022,2023,2024",KKTC Uyruklu
100890058,3,26,343,3,7,True,"2019,2020",İÖ
300290443,3,26,172,3,6,True,"2021,2022,2023,2024","%50 İndirimli,İngilizce"
108911647,3,29,111,3,1,True,"2019,2020,2021,2022,2023,2024",
107330202,3,26,226,3,7,True,"2019,2020,2021,2022,2023",İÖ
107310473,3,30,226,3,1,True,"2019,2020,2021,2022,2023,2024",
102710387,3,26,138,3,1,True,"2019,2020,2021,2022,2023,2024",
101490475,3,31,127,3,1,True,"2021,2022,2023,2024",
103730146,3,26,156,3,1,True,"2023,2024",
104790017,3,26,218,3,1,True,"2019,2020,2021,2022,2023,2024",
111091394,3,32,305,3,1,True,"2020,2021,2022,2023,2024",
108990307,3,26,111,3,1,True,"2019,2020,2021,2022,2023,2024",
111570357,3,26,302,3,1,True,"2023,2024",
104390077,3,26,124,3,1,True,"2019,2020,2021,2022,2023,2024",
112190221,3,33,180,3,1,True,"2023,2024",
100890057,3,26,343,3,1,True,"2019,2020,2021,2022,2023,2024",
101890037,3,34,279,3,1,True,"2019,2020,2021,2022,2023,2024",
300211622,3,26,172,3,3,True,"2019,2020,2021,2022,2023,2024","Burslu,İngilizce"
300290442,3,26,172,3,8,True,"2021,2022,2023,2024","İngilizce,Ücretli"
110390237,4,35,326,2,1,False,"2022,2023,2024",
110390244,5,35,326,2,1,False,"2022,2023,2024",
100751363,6,36,341,2,1,False,"2019,2020,2021,2022,2023",
110670119,6,36,122,2,1,False,"2019,2020,2021,2022,2023",
102090060,6,37,363,2,1,False,"2019,2020,2021,2022,2023",
102790186,6,38,138,2,1,False,"2019,2020,2021,2022,2023",
102890079,6,39,303,2,1,False,"2020,2021,2022,2023",
109490179,6,40,312,2,1,False,"2019,2020,2021,2022,2023",
101451503,6,36,127,2,1,False,"2019,2020,2021,2022,2023",
104251232,6,41,120,2,1,False,"2019,2020,2021,2022,2023",
209210138,6,36,324,2,6,False,"2022,2023",%50 İndirimli
110910107,6,42,263,2,6,False,2020,%50 İndirimli
110910105,6,42,263,2,8,False,2020,Ücretli
200290135,6,43,332,2,3,False,"2019,2020,2021,2022,2023",Burslu
200651875,6,23,369,2,9,False,"2019,2020,2021",%25 İndirimli
200690734,6,44,369,2,6,False,"2022,2023",%50 İndirimli
200690347,6,44,369,2,7,False,"2019,2020,2021,2022","İÖ,Ücretli"
201150076,6,36,155,2,6,False,"2019,2020,2021,2022,2023",%50 İndirimli
201150085,6,36,155,2,9,False,2019,%25 İndirimli
201150067,6,36,155,2,3,False,"2019,2020,2021,2022,2023",Burslu
205850199,6,36,272,2,8,False,"2019,2020,2021,2022",Ücretli
