faculty_name_id,faculty_name
1,Fen-Edebiyat Fakültesi
2,Serinhisar Meslek Yüksekokulu
3,Espiye Meslek Yüksekokulu
4,Şaphane Meslek Yüksekokulu
5,Türkeli Meslek Yüksekokulu
6,Şalpazarı Meslek Yüksekokulu
7,Van Güvenlik Meslek Yüksekokulu
8,Açık ve Uzaktan Öğretim Fakültesi
9,Meslek Yüksekokulu
10,Plato Meslek Yüksekokulu
11,Açık ve Uzaktan Eğitim Fakültesi
12,Sağlık Hizmetleri Meslek Yüksekokulu
13,Suluova Meslek Yüksekokulu
14,Altınyayla Mehmet Tuğrul Meslek Yüksekokulu
15,Beypazarı Meslek Yüksekokulu
16,Kavaklıdere Şehit Mustafa Alper Meslek Yüksekokulu
17,Altınyayla Mehmet Tuğrul Güvenlik Hizmetleri Meslek Yüksekokulu
18,Artvin Meslek Yüksekokulu
19,Şiran Mustafa Beyaz Meslek Yüksekokulu
20,Türkoğlu Meslek Yüksekokulu
21,Bulanık Meslek Yüksekokulu
22,Kaynaşlı Meslek Yüksekokulu
23,
24,Açıköğretim Fakültesi
25,Adapazarı Meslek Yüksekokulu
26,Sağlık Bilimleri Fakültesi
27,Keşan Hakkı Yörük Sağlık Yüksekokulu
28,Sağlık Yüksekokulu
29,Beyşehir Ali Akkanat Uygulamalı Bilimler Yüksekokulu
30,Bucak Sağlık Yüksekokulu
31,Uygulamalı Bilimler Fakültesi (Oltu)
32,Hamidiye Sağlık Bilimleri Fakültesi
33,Uygulamalı Bilimler Yüksekokulu
34,Uygulamalı Bilimler Fakültesi
35,Çaycuma Meslek Yüksekokulu
36,Adalet Meslek Yüksekokulu
37,Bingöl Sosyal Bilimler Meslek Yüksekokulu
38,Yenice Meslek Yüksekokulu
39,Kurşunlu Adalet Meslek Yüksekokulu
40,İpsala Meslek Yüksekokulu
41,Oğuzeli Meslek Yüksekokulu
42,KKTC Akademik Birim
43,Atılım Meslek Yüksekokulu
44,Sosyal Bilimler Meslek Yüksekokulu
45,Hukuk Fakültesi Adalet Meslek Yüksekokulu
46,Cide Rıfat Ilgaz Meslek Yüksekokulu
47,Ereğli Adalet Meslek Yüksekokulu
