university_id,university_name,old_name,university_type_id,university_city_id
255,ABDULLAH GÜL ÜNİVERSİTESİ,,1,1
204,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,,2,2
174,ADA KENT ÜNİVERSİTESİ,,3,3
196,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,,1,4
321,ADIYAMAN ÜNİVERSİTESİ,,1,5
329,AFYON KOCATEPE ÜNİVERSİTESİ,,1,6
316,AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,,1,6
145,AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,,1,7
170,AKDENİZ KARPAZ ÜNİVERSİTESİ,,3,3
341,AKDENİZ ÜNİVERSİTESİ,,1,8
343,AKSARAY ÜNİVERSİTESİ,,1,9
283,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,,1,8
383,ALANYA ÜNİVERSİTESİ,ALANYA HAMDULLAH EMİN PAŞA ÜNİVERSİTESİ,2,8
276,ALTINBAŞ ÜNİVERSİTESİ,,2,2
334,AMASYA ÜNİVERSİTESİ,,1,10
152,ANADOLU ÜNİVERSİTESİ,,1,11
160,ANKARA BİLİM ÜNİVERSİTESİ,,2,12
151,ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,,1,12
324,ANKARA MEDİPOL ÜNİVERSİTESİ,,2,12
209,ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ,,1,12
263,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,,1,12
207,ANKARA ÜNİVERSİTESİ,,1,12
146,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,,1,12
285,ANTALYA BELEK ÜNİVERSİTESİ,ANTALYA AKEV ÜNİVERSİTESİ,2,8
168,ANTALYA BİLİM ÜNİVERSİTESİ,,2,8
258,ARDAHAN ÜNİVERSİTESİ,,1,13
299,ARKIN YARATICI SANATLAR VE TASARIM ÜNİVERSİTESİ,,3,3
372,ARTVİN ÇORUH ÜNİVERSİTESİ,,1,14
382,ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU,,2,2
127,ATATÜRK ÜNİVERSİTESİ,,1,15
332,ATILIM ÜNİVERSİTESİ,,2,12
333,AVRASYA ÜNİVERSİTESİ,,2,16
296,AYDIN ADNAN MENDERES ÜNİVERSİTESİ,,1,17
171,AZERBAYCAN DEVLET PEDAGOJİ ÜNİVERSİTESİ,,4,3
319,AZERBAYCAN DİLLER ÜNİVERSİTESİ,,4,3
129,AZERBAYCAN MİMARLIK VE İNŞAAT ÜNİVERSİTESİ,,4,3
398,AZERBAYCAN TIP ÜNİVERSİTESİ,,4,3
140,BAHÇEŞEHİR KIBRIS ÜNİVERSİTESİ,,3,3
215,BAHÇEŞEHİR ÜNİVERSİTESİ,,2,2
104,BAKÜ DEVLET ÜNİVERSİTESİ,,4,3
128,BAKÜ SLAVYAN ÜNİVERSİTESİ,,4,3
184,BALIKESİR ÜNİVERSİTESİ,,1,18
122,BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,,1,18
139,BARTIN ÜNİVERSİTESİ,,1,19
369,BAŞKENT ÜNİVERSİTESİ,,2,12
208,BATMAN ÜNİVERSİTESİ,,1,20
279,BAYBURT ÜNİVERSİTESİ,,1,21
101,BEYKOZ ÜNİVERSİTESİ,,2,2
113,BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,,2,2
173,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,,1,22
363,BİNGÖL ÜNİVERSİTESİ,,1,23
262,BİRUNİ ÜNİVERSİTESİ,,2,2
295,BİTLİS EREN ÜNİVERSİTESİ,,1,24
310,BOĞAZİÇİ ÜNİVERSİTESİ,,1,2
396,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,,1,25
226,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,,1,26
368,BURSA TEKNİK ÜNİVERSİTESİ,,1,27
250,BURSA ULUDAĞ ÜNİVERSİTESİ,,1,27
157,ÇAĞ ÜNİVERSİTESİ,,2,28
138,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,,1,29
155,ÇANKAYA ÜNİVERSİTESİ,,2,12
303,ÇANKIRI KARATEKİN ÜNİVERSİTESİ,,1,30
297,ÇUKUROVA ÜNİVERSİTESİ,,1,4
130,DEMİROĞLU BİLİM ÜNİVERSİTESİ,,2,2
336,DİCLE ÜNİVERSİTESİ,,1,31
131,DOĞU AKDENİZ ÜNİVERSİTESİ,,3,3
181,DOĞUŞ ÜNİVERSİTESİ,,2,2
239,DOKUZ EYLÜL ÜNİVERSİTESİ,,1,32
115,DÜZCE ÜNİVERSİTESİ,,1,33
377,EGE ÜNİVERSİTESİ,,1,32
267,ERCİYES ÜNİVERSİTESİ,,1,1
103,ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,,1,34
156,ERZURUM TEKNİK ÜNİVERSİTESİ,,1,15
325,ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,,1,11
192,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,,1,11
177,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,,2,2
144,FENERBAHÇE ÜNİVERSİTESİ,,2,2
159,FIRAT ÜNİVERSİTESİ,,1,35
241,GALATASARAY ÜNİVERSİTESİ,,1,2
161,GAZİ ÜNİVERSİTESİ,,1,12
375,GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,,1,36
120,GAZİANTEP ÜNİVERSİTESİ,,1,36
237,GEBZE TEKNİK ÜNİVERSİTESİ,,1,37
242,GİRESUN ÜNİVERSİTESİ,,1,38
172,GİRNE AMERİKAN ÜNİVERSİTESİ,,3,3
349,GİRNE ÜNİVERSİTESİ,,3,3
218,GÜMÜŞHANE ÜNİVERSİTESİ,,1,39
275,HACETTEPE ÜNİVERSİTESİ,,1,12
117,HAKKARİ ÜNİVERSİTESİ,,1,40
268,HALİÇ ÜNİVERSİTESİ,,2,2
266,HARRAN ÜNİVERSİTESİ,,1,41
256,HASAN KALYONCU ÜNİVERSİTESİ,,2,36
392,HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,,1,42
251,HİTİT ÜNİVERSİTESİ,,1,43
182,HOCA AHMET YESEVİ ULUSLARARASI TÜRK-KAZAK ÜNİVERSİTESİ,,4,3
135,İBN HALDUN ÜNİVERSİTESİ,,2,2
119,IĞDIR ÜNİVERSİTESİ,,1,44
143,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,,2,12
231,İNÖNÜ ÜNİVERSİTESİ,,1,45
265,İSKENDERUN TEKNİK ÜNİVERSİTESİ,,1,42
386,ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,,1,46
298,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,,2,2
193,İSTANBUL AREL ÜNİVERSİTESİ,,2,2
166,İSTANBUL ATLAS ÜNİVERSİTESİ,,2,2
163,İSTANBUL AYDIN ÜNİVERSİTESİ,,2,2
320,İSTANBUL BEYKENT ÜNİVERSİTESİ,BEYKENT ÜNİVERSİTESİ,2,2
211,İSTANBUL BİLGİ ÜNİVERSİTESİ,,2,2
257,İSTANBUL ESENYURT ÜNİVERSİTESİ,,2,2
178,İSTANBUL GALATA ÜNİVERSİTESİ,,2,2
225,İSTANBUL GEDİK ÜNİVERSİTESİ,,2,2
185,İSTANBUL GELİŞİM ÜNİVERSİTESİ,,2,2
249,İSTANBUL KENT ÜNİVERSİTESİ,,2,2
281,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,,2,2
247,İSTANBUL MEDENİYET ÜNİVERSİTESİ,,1,2
248,İSTANBUL MEDİPOL ÜNİVERSİTESİ,,2,2
284,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,NİŞANTAŞI ÜNİVERSİTESİ,2,2
194,İSTANBUL OKAN ÜNİVERSİTESİ,,2,2
292,İSTANBUL RUMELİ ÜNİVERSİTESİ,,2,2
286,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,,2,2
186,İSTANBUL SAĞLIK VE SOSYAL BİLİMLER MESLEK YÜKSEKOKULU,FARUK SARAÇ TASARIM MESLEK YÜKSEKOKULU,2,2
133,İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,,2,2
388,İSTANBUL ŞEHİR ÜNİVERSİTESİ,,2,2
252,İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU,,2,2
112,İSTANBUL TEKNİK ÜNİVERSİTESİ,,1,2
123,İSTANBUL TİCARET ÜNİVERSİTESİ,,2,2
353,İSTANBUL TOPKAPI ÜNİVERSİTESİ,İSTANBUL AYVANSARAY ÜNİVERSİTESİ,2,2
322,İSTANBUL ÜNİVERSİTESİ,,1,2
351,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,,1,2
308,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,,2,2
244,İSTİNYE ÜNİVERSİTESİ,,2,2
105,IŞIK ÜNİVERSİTESİ,,2,2
214,İZMİR BAKIRÇAY ÜNİVERSİTESİ,,1,32
154,İZMİR DEMOKRASİ ÜNİVERSİTESİ,,1,32
114,İZMİR EKONOMİ ÜNİVERSİTESİ,,2,32
200,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,,1,32
373,İZMİR KAVRAM MESLEK YÜKSEKOKULU,İZMİR KAVRAM  MESLEK YÜKSEKOKULU,2,2
230,İZMİR TINAZTEPE ÜNİVERSİTESİ,,2,32
102,İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,,1,32
313,KADİR HAS ÜNİVERSİTESİ,,2,2
150,KAFKAS ÜNİVERSİTESİ,,1,47
199,KAHRAMANMARAŞ İSTİKLAL ÜNİVERSİTESİ,,1,48
399,KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,,1,48
167,KAPADOKYA ÜNİVERSİTESİ,,2,49
379,KARABÜK ÜNİVERSİTESİ,,1,50
394,KARADENİZ TEKNİK ÜNİVERSİTESİ,,1,16
359,KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ,,1,51
380,KASTAMONU ÜNİVERSİTESİ,,1,52
188,KAYSERİ ÜNİVERSİTESİ,,1,1
282,KIBRIS AMERİKAN ÜNİVERSİTESİ,,3,3
400,KIBRIS AYDIN ÜNİVERSİTESİ,,3,3
158,KIBRIS BATI ÜNİVERSİTESİ,,3,3
221,KIBRIS İLİM ÜNİVERSİTESİ,,3,3
197,KIBRIS SAĞLIK VE TOPLUM BİLİMLERİ ÜNİVERSİTESİ,,3,3
246,KIBRIS SOSYAL BİLİMLER ÜNİVERSİTESİ,,3,3
390,KİLİS 7 ARALIK ÜNİVERSİTESİ,,1,53
352,KIRGIZİSTAN-TÜRKİYE MANAS ÜNİVERSİTESİ,,4,3
190,KIRIKKALE ÜNİVERSİTESİ,,1,54
210,KIRKLARELİ ÜNİVERSİTESİ,,1,55
339,KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ,,1,56
374,KOCAELİ SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,AVRUPA MESLEK YÜKSEKOKULU,2,37
348,KOCAELİ ÜNİVERSİTESİ,,1,37
342,KOÇ ÜNİVERSİTESİ,,2,2
213,KOMRAT DEVLET ÜNİVERSİTESİ,,4,3
195,KONYA GIDA VE TARIM ÜNİVERSİTESİ,,2,57
259,KONYA TEKNİK ÜNİVERSİTESİ,,1,57
323,KTO KARATAY ÜNİVERSİTESİ,,2,57
164,KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ,,1,58
293,KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,,1,58
287,LEFKE AVRUPA ÜNİVERSİTESİ,,3,3
385,LOKMAN HEKİM ÜNİVERSİTESİ,,2,12
302,MALATYA TURGUT ÖZAL ÜNİVERSİTESİ,,1,45
371,MALTEPE ÜNİVERSİTESİ,,2,2
367,MANİSA CELÂL BAYAR ÜNİVERSİTESİ,,1,59
300,MARDİN ARTUKLU ÜNİVERSİTESİ,,1,60
206,MARMARA ÜNİVERSİTESİ,,1,2
137,MEF ÜNİVERSİTESİ,,2,2
330,MERSİN ÜNİVERSİTESİ,,1,28
384,MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ,,1,2
243,MUDANYA ÜNİVERSİTESİ,,2,27
216,MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ,,1,61
203,MUNZUR ÜNİVERSİTESİ,,1,62
361,MUŞ ALPARSLAN ÜNİVERSİTESİ,,1,63
100,NAHCİVAN DEVLET ÜNİVERSİTESİ,,4,3
335,NECMETTİN ERBAKAN ÜNİVERSİTESİ,,1,57
165,NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,,1,49
347,NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ,,1,64
228,NUH NACİ YAZGAN ÜNİVERSİTESİ,,2,1
364,ONDOKUZ MAYIS ÜNİVERSİTESİ,,1,65
223,ORDU ÜNİVERSİTESİ,,1,66
254,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,,1,12
356,OSMANİYE KORKUT ATA ÜNİVERSİTESİ,,1,67
274,OSTİM TEKNİK ÜNİVERSİTESİ,,2,12
169,ÖZYEĞİN ÜNİVERSİTESİ,,2,2
147,PAMUKKALE ÜNİVERSİTESİ,,1,68
346,PİRİ REİS ÜNİVERSİTESİ,,2,2
224,RAUF DENKTAŞ ÜNİVERSİTESİ,,3,3
289,RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ,,1,69
205,SABANCI ÜNİVERSİTESİ,,2,2
305,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,İÇİŞLERİ BAKANLIĞI VE MİLLİ SAVUNMA BAKANLIĞI ADINA SAĞLIK BİLİMLERİ ÜNİVERSİTESİNDE EĞİTİM ALACAKLAR,1,2
191,SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,,1,70
217,SAKARYA ÜNİVERSİTESİ,,1,70
264,SAMSUN ÜNİVERSİTESİ,,1,65
360,SANKO ÜNİVERSİTESİ,,2,36
111,SELÇUK ÜNİVERSİTESİ,,1,57
290,SİİRT ÜNİVERSİTESİ,,1,71
162,SİNOP ÜNİVERSİTESİ,,1,72
260,SİVAS BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,,1,73
106,SİVAS CUMHURİYET ÜNİVERSİTESİ,,1,73
142,SÜLEYMAN DEMİREL ÜNİVERSİTESİ,,1,46
327,ŞIRNAK ÜNİVERSİTESİ,,1,74
240,TARSUS ÜNİVERSİTESİ,,1,28
132,TED ÜNİVERSİTESİ,,2,12
309,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,,1,75
401,TİRAN NEW YORK ÜNİVERSİTESİ,,4,3
232,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,,2,12
124,TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ,,1,76
328,TOROS ÜNİVERSİTESİ,,2,28
180,TRABZON ÜNİVERSİTESİ,,1,16
312,TRAKYA ÜNİVERSİTESİ,,1,77
212,TÜRK-ALMAN ÜNİVERSİTESİ,,1,2
134,TÜRK HAVA KURUMU ÜNİVERSİTESİ,,2,12
272,UFUK ÜNİVERSİTESİ,,2,12
365,ULUSLARARASI BALKAN ÜNİVERSİTESİ,,4,3
301,ULUSLARARASI FİNAL ÜNİVERSİTESİ,,3,3
357,ULUSLARARASI KIBRIS ÜNİVERSİTESİ,,3,3
236,ULUSLARARASI SARAYBOSNA ÜNİVERSİTESİ,,4,3
278,UŞAK ÜNİVERSİTESİ,,1,78
179,ÜSKÜDAR ÜNİVERSİTESİ,,2,2
304,VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ,,1,79
219,YAKIN DOĞU ÜNİVERSİTESİ,,3,3
270,YALOVA ÜNİVERSİTESİ,,1,80
340,YAŞAR ÜNİVERSİTESİ,,2,32
338,YEDİTEPE ÜNİVERSİTESİ,,2,2
222,YILDIZ TEKNİK ÜNİVERSİTESİ,,1,2
269,YOZGAT BOZOK ÜNİVERSİTESİ,,1,81
229,YÜKSEK İHTİSAS ÜNİVERSİTESİ,,2,12
326,ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,,1,82
